,min_training_sample_size,max_training_sample_size,target_power,alpha,min_score,min_relevant_score,min_validation_sample_size,window_size,step,cv,bootstrap_samples,scoring,truncate_sample_size,pareto_sample_size,halfsplit_sample_size,split90-10_sample_size,adaptivesplit_sample_size,pareto_train_scores,halfsplit_train_scores,split90-10_train_scores,adaptivesplit_train_scores,pareto_test_scores,halfsplit_test_scores,split90-10_test_scores,adaptivesplit_test_scores,pareto_p_values,halfsplit_p_values,split90-10_p_values,adaptivesplit_p_values,n_permutation,random_seed,adaptivesplit_learning_curve,adaptivesplit_power_curve
0,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,35.0,28.0,17.0,31.0,23.0,0.9642857142857143,0.9411764705882353,0.967741935483871,0.9565217391304348,1.0,1.0,1.0,1.0,0.0494,0.0,0.2484,0.0018,0.0,0.0,"[0.9373333333333334, 0.9336666666666666, 0.9476666666666665, 0.9486666666666668, 0.95, 0.9483333333333335, 0.9534999999999999, 0.9671666666666667, 0.963, 0.9657000000000001, 0.9649000000000001, 0.9672, 0.9642000000000001, 0.9607999999999999, 0.9683333333333333, 0.9702666666666666, 0.9706666666666668, 0.9719333333333334, 0.9706666666666669, 0.9726190476190478, 0.9696190476190477, 0.9713809523809525, 0.970761904761905, 0.9714285714285716]","[0.97, 0.97, 1.0, 0.97, 0.98, 0.98, 0.99, 0.99, 1.0, 0.97, 0.97, 0.97, 0.82, 0.88, 0.77, 0.71, 0.54, 0.28, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,43.0,34.0,21.0,38.0,31.0,0.9705882352941176,0.9523809523809523,0.9736842105263158,0.967741935483871,1.0,1.0,1.0,1.0,0.0136,0.0,0.0936,0.0018,0.0,0.0,"[0.9323333333333333, 0.9466666666666668, 0.9433333333333335, 0.9486666666666665, 0.9460000000000001, 0.9633333333333334, 0.9673333333333334, 0.9741666666666666, 0.9581666666666667, 0.9640000000000001, 0.9649000000000002, 0.9739, 0.9688, 0.9745999999999998, 0.968, 0.9736000000000001, 0.9735333333333334, 0.9716666666666666, 0.9693333333333335, 0.9726666666666668, 0.9731904761904764, 0.9741904761904763, 0.9750476190476194, 0.9741428571428571, 0.9751428571428573, 0.9743928571428572, 0.9762500000000002, 0.9765357142857143, 0.9752857142857141, 0.9767499999999996, 0.9764444444444442, 0.9758333333333331, 0.976361111111111]","[0.97, 0.98, 0.93, 0.99, 0.98, 1.0, 1.0, 1.0, 1.0, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 0.99, 0.99, 0.99, 0.95, 0.97, 0.84, 0.69, 0.65, 0.32, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,52.0,41.0,26.0,46.0,40.0,0.975609756097561,0.9615384615384616,0.9782608695652174,0.975,1.0,1.0,1.0,1.0,0.0032,0.0,0.0678,0.0018,0.0,0.0,"[0.9536666666666668, 0.9510000000000002, 0.9493333333333333, 0.9560000000000001, 0.9533333333333333, 0.9671666666666667, 0.9595, 0.9730000000000001, 0.9715, 0.9704999999999999, 0.9769999999999999, 0.9675999999999998, 0.9711999999999997, 0.9738, 0.9732, 0.9773999999999999, 0.9748666666666667, 0.9770666666666666, 0.9788000000000001, 0.9756666666666668, 0.9786190476190478, 0.9779047619047619, 0.9789523809523811, 0.9785714285714288, 0.9780000000000001, 0.979107142857143, 0.9804999999999999, 0.9781071428571428, 0.9791785714285715, 0.9794999999999997, 0.9792777777777775, 0.9794722222222221, 0.9789166666666667, 0.9785277777777776, 0.9813333333333333, 0.9786666666666668, 0.9795111111111112, 0.9798000000000002, 0.9805333333333337, 0.9806000000000005, 0.9805272727272731, 0.980745454545455]","[0.98, 0.99, 1.0, 0.98, 1.0, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 0.95, 0.93, 0.85, 0.71, 0.69, 0.34, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,65.0,52.0,32.0,58.0,53.0,0.9807692307692307,0.96875,0.9827586206896551,0.9811320754716981,0.9230769230769231,0.9696969696969697,0.8571428571428571,0.9166666666666666,0.0062,0.0,0.144,0.0084,0.0,0.0,"[0.9336666666666666, 0.9446666666666665, 0.9169999999999999, 0.95, 0.9466666666666669, 0.9485000000000001, 0.9568333333333334, 0.9585000000000001, 0.9628333333333333, 0.9580000000000001, 0.9642999999999999, 0.9559000000000001, 0.9612999999999999, 0.9617, 0.9647999999999999, 0.9634666666666667, 0.9678, 0.9668000000000001, 0.9661333333333333, 0.9640000000000002, 0.9711904761904764, 0.966809523809524, 0.9680000000000001, 0.9706190476190478, 0.9654285714285714, 0.9672500000000003, 0.9689642857142857, 0.9645714285714283, 0.9658928571428569, 0.9674999999999998, 0.9694444444444441, 0.9683888888888887, 0.967111111111111, 0.9692222222222222, 0.9684444444444443, 0.9700444444444443, 0.9673333333333332, 0.9676444444444445, 0.9696222222222223, 0.9688000000000001, 0.9705272727272728, 0.967709090909091, 0.968418181818182, 0.9698000000000002, 0.9690909090909093, 0.9676515151515152, 0.969439393939394, 0.9688484848484848, 0.9695909090909092, 0.9688333333333334, 0.9696666666666666, 0.9684358974358974, 0.9690512820512821, 0.9695897435897436, 0.969230769230769]","[0.98, 0.97, 0.97, 0.99, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 0.99, 1.0, 0.96, 0.92, 0.85, 0.77, 0.48, 0.43, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,79.0,63.0,39.0,71.0,67.0,0.9841269841269841,0.9743589743589743,0.971830985915493,0.9701492537313433,0.9375,0.975,1.0,1.0,0.0016,0.0,0.0374,0.0018,0.0,0.0,"[0.9146666666666665, 0.9316666666666668, 0.9396666666666669, 0.9453333333333331, 0.9326666666666666, 0.9465, 0.9573333333333331, 0.9581666666666666, 0.9596666666666667, 0.9660000000000001, 0.9685000000000001, 0.9610000000000001, 0.9596999999999999, 0.9660999999999998, 0.9699999999999999, 0.9676, 0.9690000000000001, 0.9691333333333333, 0.9709333333333333, 0.9720000000000002, 0.9691428571428574, 0.971714285714286, 0.9740000000000001, 0.9733333333333334, 0.9720000000000002, 0.9688214285714287, 0.9685357142857144, 0.9713571428571426, 0.9737142857142856, 0.9717499999999996, 0.9764166666666665, 0.9728333333333333, 0.9728333333333332, 0.9731666666666666, 0.9737777777777779, 0.9756222222222223, 0.9710000000000001, 0.9759333333333333, 0.9729555555555557, 0.9734, 0.9738727272727273, 0.9750363636363639, 0.9755636363636364, 0.9745818181818184, 0.9747272727272727, 0.9732878787878789, 0.9720454545454545, 0.9756515151515152, 0.9736212121212121, 0.9731666666666667, 0.9728846153846153, 0.9735384615384615, 0.9753461538461538, 0.9759102564102564, 0.9735384615384615, 0.9746153846153846, 0.9760000000000002, 0.9751538461538461, 0.9743076923076924, 0.9751428571428573, 0.9745142857142861, 0.974542857142857, 0.9744666666666667, 0.9746285714285715, 0.9745333333333331, 0.97415, 0.9745833333333331, 0.9745333333333331, 0.9746916666666664]","[0.97, 0.99, 1.0, 1.0, 0.97, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 0.99, 1.0, 0.99, 1.0, 0.98, 0.96, 0.82, 0.78, 0.55, 0.39, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,35.0,28.0,17.0,31.0,23.0,0.9642857142857143,1.0,0.967741935483871,1.0,1.0,0.9444444444444444,1.0,0.9166666666666666,0.0276,0.0002,0.1628,0.008,1.0,1.0,"[0.9253333333333333, 0.9246666666666666, 0.9456666666666668, 0.9533333333333335, 0.9620000000000001, 0.9434999999999999, 0.9570000000000001, 0.9603333333333333, 0.955, 0.9634000000000001, 0.9599000000000001, 0.9653, 0.9642999999999999, 0.9663999999999998, 0.9675333333333335, 0.9662666666666668, 0.9676666666666667, 0.9674666666666667, 0.9693333333333334, 0.9681428571428574, 0.9699047619047622, 0.9663809523809525, 0.9706666666666669, 0.9708571428571432]","[0.96, 0.97, 0.98, 1.0, 0.99, 0.98, 1.0, 0.99, 0.99, 0.97, 0.97, 0.95, 0.97, 0.86, 0.76, 0.68, 0.51, 0.31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,43.0,34.0,21.0,38.0,31.0,0.9705882352941176,1.0,0.9736842105263158,0.967741935483871,1.0,0.9545454545454546,1.0,1.0,0.0286,0.0,0.1984,0.0016,1.0,1.0,"[0.9130000000000003, 0.92, 0.9433333333333335, 0.9416666666666668, 0.9460000000000001, 0.9461666666666667, 0.9621666666666667, 0.965, 0.9718333333333333, 0.9690000000000001, 0.97, 0.9628, 0.9695999999999999, 0.9664999999999999, 0.9695999999999999, 0.9676666666666667, 0.9738666666666665, 0.9707333333333333, 0.9730666666666665, 0.9720000000000002, 0.9745238095238097, 0.9738095238095239, 0.9773333333333335, 0.9738095238095239, 0.9728571428571431, 0.975107142857143, 0.97775, 0.9765714285714283, 0.9761071428571425, 0.9752499999999995, 0.977083333333333, 0.976722222222222, 0.9765277777777776]","[0.95, 0.9, 0.98, 0.99, 1.0, 0.99, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 0.99, 1.0, 1.0, 0.99, 0.97, 0.99, 0.92, 0.84, 0.71, 0.56, 0.26, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,52.0,41.0,26.0,46.0,40.0,0.975609756097561,0.9615384615384616,0.9782608695652174,0.975,1.0,1.0,1.0,1.0,0.001,0.0,0.0652,0.0018,1.0,1.0,"[0.9223333333333334, 0.943, 0.9583333333333333, 0.9469999999999997, 0.9593333333333333, 0.9546666666666667, 0.9686666666666668, 0.9685000000000001, 0.9698333333333333, 0.9695000000000001, 0.9691999999999997, 0.9714, 0.9772, 0.9681000000000001, 0.9747999999999998, 0.9745333333333334, 0.9795999999999999, 0.9790666666666668, 0.9789333333333334, 0.9743333333333335, 0.9769523809523811, 0.9800000000000001, 0.9791904761904763, 0.9775714285714288, 0.9774285714285716, 0.9791785714285716, 0.9804285714285714, 0.9802857142857142, 0.980392857142857, 0.9794999999999996, 0.9800833333333331, 0.9802499999999997, 0.9799166666666664, 0.9799444444444444, 0.9806666666666666, 0.9786000000000002, 0.980688888888889, 0.9824444444444447, 0.9807333333333336, 0.9806000000000004, 0.9808909090909094, 0.980927272727273]","[0.96, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 0.97, 0.97, 0.8, 0.66, 0.72, 0.32, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,65.0,52.0,32.0,58.0,53.0,0.9807692307692307,0.96875,0.9827586206896551,0.9811320754716981,1.0,1.0,1.0,1.0,0.0006,0.0,0.0286,0.003,1.0,1.0,"[0.94, 0.9526666666666666, 0.9493333333333334, 0.9573333333333335, 0.9673333333333335, 0.9721666666666665, 0.9661666666666667, 0.97, 0.9713333333333335, 0.9684999999999999, 0.9817, 0.9749000000000001, 0.9725999999999999, 0.9741, 0.9755999999999999, 0.9783333333333332, 0.9793333333333334, 0.9795333333333334, 0.9844000000000002, 0.9810000000000001, 0.980809523809524, 0.9827142857142858, 0.9800476190476192, 0.9812380952380955, 0.9840000000000002, 0.9820357142857143, 0.9812499999999998, 0.9815714285714283, 0.9815714285714285, 0.9844999999999996, 0.984833333333333, 0.9838888888888886, 0.9813055555555554, 0.9845555555555555, 0.9822222222222223, 0.9838888888888888, 0.983888888888889, 0.9856222222222226, 0.9837111111111113, 0.9848000000000002, 0.9849818181818185, 0.9847818181818184, 0.9842181818181821, 0.9858000000000001, 0.9843636363636366, 0.9838939393939395, 0.9843030303030303, 0.9844090909090909, 0.9851666666666665, 0.9846666666666664, 0.9847051282051282, 0.9852435897435897, 0.9841025641025641, 0.9843205128205128, 0.9846153846153846]","[0.99, 0.99, 1.0, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98, 0.99, 0.97, 0.97, 0.88, 0.73, 0.65, 0.33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,79.0,63.0,39.0,71.0,67.0,0.9841269841269841,0.9743589743589743,0.9859154929577465,0.9850746268656716,1.0,1.0,1.0,1.0,0.0,0.0,0.02,0.0016,1.0,1.0,"[0.9423333333333334, 0.9566666666666669, 0.9576666666666667, 0.9586666666666666, 0.9680000000000001, 0.9686666666666668, 0.973, 0.9741666666666667, 0.976, 0.9755000000000001, 0.9749, 0.9804999999999999, 0.9781, 0.9803000000000001, 0.9827999999999999, 0.9797333333333333, 0.9822000000000002, 0.9828, 0.9820666666666668, 0.9840000000000001, 0.9822380952380954, 0.9819523809523809, 0.9844285714285715, 0.9803333333333335, 0.9862857142857143, 0.9878571428571429, 0.9828571428571429, 0.9867142857142857, 0.9878928571428568, 0.9877499999999998, 0.9856388888888887, 0.9859999999999998, 0.9857777777777775, 0.9859444444444443, 0.9853333333333333, 0.9862000000000001, 0.9862222222222223, 0.9859111111111112, 0.9860444444444447, 0.9876000000000004, 0.9853454545454546, 0.9870000000000002, 0.988309090909091, 0.9870727272727273, 0.9867272727272729, 0.9880303030303029, 0.985409090909091, 0.9864545454545454, 0.9883181818181817, 0.9881666666666665, 0.9881923076923076, 0.9868846153846152, 0.9872948717948717, 0.9870256410256409, 0.9872307692307691, 0.9879670329670328, 0.988142857142857, 0.9872197802197802, 0.9874285714285713, 0.9868571428571427, 0.9865999999999998, 0.9872571428571427, 0.9872571428571426, 0.9868952380952379, 0.9874666666666664, 0.9872249999999998, 0.9874916666666665, 0.9872833333333333, 0.9873416666666667]","[0.98, 0.99, 1.0, 1.0, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.97, 0.97, 0.93, 0.86, 0.78, 0.66, 0.36, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,35.0,28.0,17.0,31.0,23.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0308,0.0,0.247,0.0012,2.0,2.0,"[0.9746666666666667, 0.9633333333333333, 0.9711666666666666, 0.9686666666666666, 0.9745000000000004, 0.9695000000000001, 0.9710000000000001, 0.9661, 0.9676999999999998, 0.9705000000000001, 0.9664, 0.9677333333333332, 0.9664666666666666, 0.9691333333333333, 0.9743333333333334, 0.9653333333333335, 0.9685238095238098, 0.9616666666666667, 0.9634285714285715, 0.9668571428571429, 0.9685714285714287]","[0.99, 0.95, 0.94, 0.94, 0.96, 0.93, 0.97, 0.92, 0.82, 0.84, 0.76, 0.73, 0.71, 0.44, 0.28, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
11,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,43.0,34.0,21.0,38.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0084,0.0002,0.0936,0.001,2.0,2.0,"[0.9660000000000001, 0.9716666666666669, 0.9688333333333334, 0.9798333333333333, 0.9816666666666667, 0.9760000000000001, 0.9832000000000001, 0.9741, 0.9758, 0.9808, 0.9775999999999999, 0.9762666666666665, 0.9816666666666667, 0.9785333333333331, 0.9797333333333333, 0.9766666666666669, 0.9773333333333334, 0.9781904761904763, 0.9761904761904762, 0.978714285714286, 0.982, 0.9786785714285715, 0.9771428571428571, 0.9766071428571428, 0.9785357142857143, 0.9747499999999999, 0.9782777777777777, 0.9813055555555553, 0.9772777777777775]","[0.97, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 0.99, 0.99, 0.99, 1.0, 0.97, 1.0, 0.97, 0.98, 0.94, 0.83, 0.87, 0.75, 0.65, 0.5, 0.36, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
12,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,52.0,41.0,26.0,46.0,40.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0038,0.0,0.0658,0.001,2.0,2.0,"[0.97, 0.9786666666666668, 0.9821666666666669, 0.9813333333333334, 0.9845, 0.9884999999999999, 0.9845, 0.986, 0.9808, 0.9804999999999998, 0.9857999999999998, 0.9852, 0.9863333333333334, 0.9858, 0.9873333333333335, 0.9839999999999999, 0.9826666666666668, 0.986904761904762, 0.986, 0.9833333333333334, 0.9858095238095239, 0.9851428571428572, 0.985642857142857, 0.9847857142857144, 0.9840714285714285, 0.985785714285714, 0.9857499999999999, 0.9879166666666666, 0.9856944444444443, 0.984972222222222, 0.9865555555555554, 0.9862222222222222, 0.9857333333333336, 0.9842888888888891, 0.9855777777777779, 0.9841777777777782, 0.9838000000000002, 0.9846909090909094, 0.983127272727273]","[0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 0.98, 0.98, 0.99, 0.97, 0.91, 0.84, 0.73, 0.51, 0.34, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
13,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,65.0,52.0,32.0,58.0,53.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,0.0,0.0468,0.0018,2.0,2.0,"[0.9746666666666668, 0.9766666666666666, 0.9789999999999999, 0.9855000000000002, 0.9793333333333334, 0.9818333333333333, 0.9855000000000002, 0.9899, 0.9900999999999999, 0.9865, 0.9815999999999998, 0.9867999999999999, 0.9855333333333334, 0.9904666666666667, 0.9890666666666666, 0.9873333333333335, 0.9856666666666668, 0.9855238095238097, 0.9873809523809524, 0.9875714285714287, 0.9868095238095239, 0.9840000000000002, 0.9873571428571428, 0.988357142857143, 0.9859285714285713, 0.9879642857142855, 0.98725, 0.9890277777777776, 0.98625, 0.9882222222222221, 0.9854999999999998, 0.987111111111111, 0.9865333333333334, 0.9852222222222222, 0.9862222222222224, 0.9855555555555559, 0.9870000000000003, 0.9874909090909092, 0.9862000000000002, 0.9845818181818184, 0.9848545454545455, 0.9863636363636364, 0.985060606060606, 0.9853787878787879, 0.9845757575757575, 0.9835606060606059, 0.9848333333333332, 0.9855128205128206, 0.9850897435897434, 0.9850897435897434, 0.9853333333333335, 0.9850769230769231]","[0.99, 0.98, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 0.98, 1.0, 1.0, 0.99, 0.99, 0.92, 0.95, 0.88, 0.8, 0.8, 0.59, 0.34, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
