,min_training_sample_size,max_training_sample_size,target_power,alpha,min_score,min_relevant_score,min_validation_sample_size,window_size,step,cv,bootstrap_samples,scoring,truncate_sample_size,pareto_sample_size,halfsplit_sample_size,split90-10_sample_size,adaptivesplit_sample_size,pareto_train_scores,halfsplit_train_scores,split90-10_train_scores,adaptivesplit_train_scores,pareto_test_scores,halfsplit_test_scores,split90-10_test_scores,adaptivesplit_test_scores,pareto_p_values,halfsplit_p_values,split90-10_p_values,adaptivesplit_p_values,n_permutation,random_seed,adaptivesplit_learning_curve,adaptivesplit_power_curve
0,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,49.0,39.0,24.0,44.0,34.0,1.0,1.0,1.0,1.0,0.7,0.8,0.8,0.8,0.2198,0.0114,0.3956,0.0444,0.0,0.0,"[0.7943333333333333, 0.8163333333333336, 0.8166666666666668, 0.8079999999999999, 0.8005000000000001, 0.8321666666666665, 0.8361666666666666, 0.846, 0.8424999999999998, 0.8369999999999999, 0.8459, 0.8393999999999999, 0.8716000000000002, 0.8766666666666667, 0.8663999999999998, 0.8610666666666665, 0.8760666666666667, 0.8713333333333337, 0.8660000000000002, 0.88, 0.878952380952381, 0.8765238095238097, 0.8808571428571428, 0.8834642857142856, 0.8768571428571428, 0.876892857142857, 0.8830357142857143, 0.8745, 0.8765555555555555, 0.8820555555555558, 0.8798888888888888, 0.8840833333333333, 0.8906666666666666, 0.8922666666666668, 0.8788000000000001, 0.8822666666666664, 0.8811555555555556]","[0.66, 0.77, 0.8, 0.79, 0.79, 0.86, 0.84, 0.9, 0.93, 0.86, 0.91, 0.85, 0.94, 0.93, 0.92, 0.87, 0.9, 0.8, 0.9, 0.85, 0.84, 0.83, 0.8, 0.8, 0.75, 0.58, 0.6, 0.43, 0.34, 0.25, 0.17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,65.0,52.0,32.0,58.0,50.0,0.9807692307692307,1.0,0.9827586206896551,1.0,0.8461538461538461,0.7575757575757576,1.0,0.8666666666666667,0.0782,0.0284,0.0486,0.0366,0.0,0.0,"[0.8246666666666667, 0.8, 0.821, 0.8188333333333333, 0.811, 0.8455000000000001, 0.8339999999999997, 0.8356, 0.8490000000000001, 0.8667999999999998, 0.8520000000000002, 0.8524, 0.8641333333333334, 0.8527333333333332, 0.8751333333333335, 0.8689999999999999, 0.8736666666666667, 0.864761904761905, 0.8626190476190477, 0.8800476190476192, 0.8800952380952383, 0.8742857142857141, 0.8725714285714287, 0.8794285714285714, 0.8813571428571428, 0.8847857142857143, 0.8835000000000001, 0.8908888888888888, 0.8890833333333333, 0.8923055555555556, 0.8907777777777778, 0.8857777777777777, 0.8907333333333333, 0.8899111111111111, 0.8870666666666664, 0.8892, 0.8887999999999999, 0.8934000000000001, 0.8967454545454545, 0.8886909090909092, 0.8895454545454545, 0.8850909090909092, 0.8917121212121212, 0.8894999999999998, 0.8908484848484849, 0.8900757575757575, 0.8871666666666667, 0.8901794871794872, 0.8841025641025643, 0.8849615384615386, 0.8897307692307694, 0.8880000000000001]","[0.84, 0.82, 0.84, 0.86, 0.84, 0.88, 0.88, 0.91, 0.93, 0.95, 0.97, 0.94, 0.94, 0.98, 0.96, 0.96, 0.93, 0.93, 0.94, 0.99, 0.95, 0.96, 0.94, 0.93, 0.9, 0.95, 0.95, 0.94, 0.94, 0.92, 0.96, 0.96, 0.87, 0.91, 0.85, 0.87, 0.83, 0.85, 0.76, 0.65, 0.66, 0.55, 0.47, 0.3, 0.24, 0.22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,86.0,68.0,43.0,77.0,73.0,0.9705882352941176,1.0,0.974025974025974,0.9726027397260274,0.9444444444444444,0.9069767441860465,0.8888888888888888,0.9230769230769231,0.0024,0.0,0.0472,0.0144,0.0,0.0,"[0.8113333333333332, 0.8161666666666665, 0.8193333333333334, 0.8331666666666667, 0.8346666666666668, 0.8425000000000001, 0.8478999999999999, 0.8521000000000001, 0.8495, 0.8555000000000001, 0.8523999999999999, 0.8555333333333334, 0.8767333333333335, 0.8551333333333335, 0.8610000000000002, 0.8580000000000001, 0.8741428571428572, 0.8862857142857143, 0.8718571428571429, 0.8767142857142858, 0.8794285714285714, 0.8856785714285713, 0.8887142857142857, 0.8820357142857144, 0.8884285714285712, 0.8852500000000002, 0.8893333333333332, 0.8945000000000001, 0.8915833333333332, 0.8917500000000002, 0.8926666666666666, 0.8920888888888888, 0.8956444444444445, 0.8964, 0.9006222222222222, 0.8926000000000001, 0.8998363636363639, 0.8936909090909091, 0.8999272727272728, 0.901218181818182, 0.8981818181818181, 0.8990757575757574, 0.8986818181818184, 0.9026818181818183, 0.9016515151515151, 0.9038333333333335, 0.9010128205128204, 0.905051282051282, 0.8991410256410258, 0.901346153846154, 0.9012307692307694, 0.903802197802198, 0.905725274725275, 0.9037142857142859, 0.9015934065934067, 0.9037142857142858, 0.9068666666666665, 0.9033714285714285, 0.9042380952380955, 0.9062666666666668, 0.9057333333333333, 0.9041250000000001, 0.9066833333333334, 0.9078, 0.9051083333333334, 0.90475, 0.9059485294117648, 0.9052058823529411, 0.9078823529411764, 0.9044044117647059, 0.9054117647058824, 0.9045032679738564]","[0.85, 0.88, 0.87, 0.92, 0.93, 0.94, 0.93, 0.95, 0.94, 0.89, 0.94, 0.96, 1.0, 0.96, 0.97, 0.96, 1.0, 0.98, 0.96, 0.99, 0.98, 0.97, 0.99, 0.99, 0.97, 0.98, 0.98, 1.0, 0.98, 0.99, 0.98, 0.97, 1.0, 0.99, 1.0, 1.0, 1.0, 0.98, 1.0, 0.99, 0.99, 1.0, 0.97, 0.99, 0.98, 0.98, 0.99, 0.98, 0.99, 0.94, 0.96, 0.99, 0.94, 0.96, 0.9, 0.87, 0.87, 0.85, 0.83, 0.74, 0.67, 0.57, 0.5, 0.36, 0.25, 0.16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,113.0,90.0,56.0,101.0,101.0,0.9555555555555556,0.9821428571428571,0.9504950495049505,0.9504950495049505,0.9130434782608695,0.9298245614035088,0.9166666666666666,0.9166666666666666,0.001,0.0,0.01,0.01,0.0,0.0,"[0.8093333333333331, 0.8325, 0.8415, 0.83, 0.8495000000000001, 0.8492000000000001, 0.8572, 0.8619, 0.8593999999999999, 0.8683999999999998, 0.8797333333333333, 0.8722666666666664, 0.8745999999999999, 0.8780000000000001, 0.877666666666667, 0.8850952380952383, 0.885904761904762, 0.8870952380952382, 0.8898571428571429, 0.8857142857142857, 0.8970357142857143, 0.8934285714285715, 0.8936071428571427, 0.9031785714285714, 0.89875, 0.8901388888888887, 0.9021388888888887, 0.8956944444444445, 0.8981111111111111, 0.894888888888889, 0.9049777777777775, 0.9066888888888889, 0.9061555555555556, 0.9074888888888889, 0.9046000000000002, 0.9076545454545455, 0.9058727272727274, 0.9064, 0.9075272727272728, 0.9074545454545454, 0.9116060606060605, 0.9149696969696971, 0.9085606060606062, 0.9112424242424244, 0.9133333333333334, 0.9128846153846155, 0.9142051282051281, 0.9143076923076923, 0.9149358974358974, 0.9150769230769231, 0.9151868131868133, 0.9189340659340659, 0.912, 0.9196703296703298, 0.9134285714285714, 0.9139999999999999, 0.9181428571428571, 0.918809523809524, 0.9173714285714286, 0.9189333333333332, 0.9217, 0.9173083333333334, 0.9208333333333333, 0.9143083333333333, 0.9179999999999999, 0.9247573529411766, 0.9153161764705884, 0.9175661764705881, 0.9198823529411765, 0.9201176470588236, 0.918980392156863, 0.9179477124183008, 0.9224901960784315, 0.9185816993464053, 0.9201111111111112, 0.9200935672514621, 0.9166608187134504, 0.9259181286549706, 0.921309941520468, 0.919578947368421, 0.9198578947368421, 0.9221578947368421, 0.9220578947368422, 0.9223631578947369, 0.9200999999999999, 0.9215285714285713, 0.9190761904761905, 0.9193619047619047, 0.9204380952380953, 0.9186666666666667, 0.9194761904761906, 0.9196536796536796, 0.9195670995670996, 0.9187619047619049, 0.9182727272727272, 0.9176679841897233, 0.9186956521739131, 0.9200039525691699]","[0.87, 0.9, 0.92, 0.93, 0.96, 0.93, 0.98, 0.97, 0.99, 0.97, 0.98, 0.96, 0.99, 0.99, 0.99, 0.99, 1.0, 0.99, 0.99, 0.97, 0.99, 1.0, 1.0, 1.0, 1.0, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 1.0, 1.0, 1.0, 1.0, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 1.0, 0.99, 1.0, 0.99, 0.99, 1.0, 0.99, 1.0, 1.0, 0.99, 0.99, 1.0, 1.0, 0.99, 1.0, 0.99, 0.99, 0.99, 0.96, 0.98, 0.97, 0.94, 0.96, 0.93, 0.96, 0.94, 0.95, 0.92, 0.87, 0.83, 0.81, 0.7, 0.54, 0.48, 0.41, 0.24, 0.21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,150.0,120.0,75.0,135.0,138.0,0.95,0.9733333333333334,0.9629629629629629,0.9637681159420289,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.8333333333333334,0.0,0.0,0.0058,0.0276,0.0,0.0,"[0.807, 0.8279999999999998, 0.8089999999999999, 0.8283333333333335, 0.8243333333333331, 0.8401666666666666, 0.8645, 0.8688000000000001, 0.8559, 0.8642, 0.8748999999999999, 0.8572, 0.8720666666666667, 0.8772666666666668, 0.8854666666666666, 0.8970666666666667, 0.8883333333333333, 0.8895238095238096, 0.8894285714285715, 0.894904761904762, 0.897761904761905, 0.9042857142857144, 0.8988214285714285, 0.9092142857142856, 0.8925357142857143, 0.9085357142857142, 0.9120000000000001, 0.911277777777778, 0.914277777777778, 0.9141944444444445, 0.9123888888888888, 0.9144444444444446, 0.9100222222222222, 0.9190444444444442, 0.9102888888888888, 0.919688888888889, 0.9206, 0.9202909090909089, 0.9102727272727275, 0.9209272727272727, 0.9191454545454545, 0.9183636363636363, 0.9212878787878789, 0.922560606060606, 0.9229545454545456, 0.9225909090909091, 0.9248333333333335, 0.9246153846153848, 0.9263846153846154, 0.9295384615384615, 0.9325128205128206, 0.9233846153846156, 0.9272307692307694, 0.925725274725275, 0.9294175824175823, 0.9290439560439561, 0.9288571428571428, 0.9262952380952381, 0.9268380952380955, 0.927514285714286, 0.9302380952380953, 0.932, 0.9268749999999999, 0.9328166666666668, 0.930175, 0.9279000000000001, 0.9281249999999999, 0.9283676470588236, 0.9356617647058824, 0.9283750000000001, 0.9310294117647058, 0.9276470588235294, 0.933607843137255, 0.9301176470588236, 0.9259150326797387, 0.9306666666666666, 0.93, 0.9331169590643276, 0.9324444444444443, 0.9333684210526317, 0.9293216374269008, 0.9337894736842105, 0.9288421052631577, 0.933105263157895, 0.9335526315789475, 0.9329736842105263, 0.9324999999999999, 0.9312666666666667, 0.9298095238095239, 0.9336619047619048, 0.9346380952380955, 0.9307619047619048, 0.932809523809524, 0.9304199134199135, 0.933069264069264, 0.9333852813852814, 0.9329090909090911, 0.9323478260869565, 0.9343636363636364, 0.9323122529644269, 0.9313794466403162, 0.929217391304348, 0.9335036231884059, 0.9320688405797103, 0.930576086956522, 0.9315615942028985, 0.9329999999999998, 0.9335733333333331, 0.9318766666666666, 0.9320233333333331, 0.9313933333333333, 0.93128, 0.9336461538461538, 0.93188, 0.931206153846154, 0.9317292307692306, 0.9332307692307694, 0.9316866096866098, 0.9339344729344728, 0.9293903133903134, 0.9335840455840456, 0.9302222222222221, 0.9300079365079366, 0.9330000000000002, 0.9323809523809523, 0.9321322751322749, 0.9305714285714286, 0.9322068965517241, 0.9321280788177342, 0.932128078817734, 0.9312241379310344, 0.9304827586206897, 0.9311218390804598, 0.931528735632184, 0.9302988505747125, 0.9307908045977011, 0.9314000000000001]","[0.87, 0.94, 0.91, 0.98, 0.95, 0.96, 1.0, 1.0, 0.99, 1.0, 0.99, 0.97, 1.0, 1.0, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 1.0, 0.99, 1.0, 1.0, 0.99, 0.98, 0.98, 0.93, 0.97, 0.94, 0.93, 0.85, 0.84, 0.79, 0.77, 0.56, 0.46, 0.31, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,49.0,39.0,24.0,44.0,27.0,0.9743589743589743,1.0,0.9772727272727273,0.9629629629629629,0.7,0.68,0.8,0.7272727272727273,0.3946,0.1336,0.3958,0.0944,1.0,1.0,"[0.7613333333333333, 0.753, 0.7679999999999998, 0.7546666666666666, 0.7633333333333333, 0.7836666666666666, 0.7729999999999997, 0.773, 0.7735000000000001, 0.7938999999999998, 0.7928000000000002, 0.7944000000000001, 0.7836000000000002, 0.7935999999999999, 0.7984, 0.7996666666666665, 0.8123999999999999, 0.8089333333333333, 0.8019999999999999, 0.8140952380952382, 0.8204761904761904, 0.8262857142857142, 0.8208571428571431, 0.824857142857143, 0.8295357142857143, 0.8296428571428571, 0.8284642857142858, 0.8341428571428571, 0.8337499999999999, 0.8348333333333332, 0.8334444444444443, 0.8463333333333334, 0.8496944444444443, 0.8426666666666667, 0.8533333333333333, 0.846822222222222, 0.8528222222222221, 0.8572666666666667]","[0.68, 0.63, 0.72, 0.65, 0.65, 0.72, 0.74, 0.74, 0.72, 0.77, 0.78, 0.79, 0.74, 0.73, 0.77, 0.76, 0.83, 0.76, 0.73, 0.72, 0.74, 0.66, 0.62, 0.66, 0.58, 0.51, 0.46, 0.42, 0.3, 0.24, 0.13, 0.11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,65.0,52.0,32.0,58.0,47.0,0.9423076923076923,0.96875,0.9655172413793104,0.9574468085106383,0.8461538461538461,0.7878787878787878,0.8571428571428571,0.8333333333333334,0.1048,0.0102,0.2934,0.0444,1.0,1.0,"[0.7763333333333332, 0.7553333333333332, 0.7716666666666666, 0.7785000000000001, 0.7945000000000002, 0.7796666666666665, 0.7834999999999998, 0.7976000000000001, 0.7817000000000001, 0.8094000000000001, 0.8271999999999999, 0.8111999999999999, 0.8144666666666667, 0.8146666666666667, 0.8264666666666668, 0.8232666666666668, 0.8170000000000002, 0.8483333333333333, 0.8365714285714286, 0.8350952380952382, 0.8262380952380952, 0.8445714285714285, 0.8496428571428573, 0.8472142857142856, 0.8490000000000001, 0.8453571428571429, 0.8499999999999998, 0.8626944444444444, 0.8498055555555554, 0.8569722222222221, 0.8509166666666667, 0.857111111111111, 0.8602666666666665, 0.8609111111111111, 0.8586222222222222, 0.8630666666666669, 0.8654, 0.8633454545454545, 0.8694727272727271, 0.8622909090909091, 0.8648181818181819, 0.8625454545454546, 0.869939393939394, 0.8683333333333334, 0.8681060606060604, 0.8681060606060604, 0.8675, 0.8752179487179487, 0.8697692307692307, 0.8773333333333332, 0.8781923076923076, 0.8752307692307693]","[0.78, 0.75, 0.76, 0.77, 0.83, 0.78, 0.8, 0.81, 0.81, 0.83, 0.94, 0.85, 0.89, 0.88, 0.92, 0.91, 0.89, 0.96, 0.9, 0.89, 0.88, 0.95, 0.98, 0.86, 0.87, 0.9, 0.89, 0.89, 0.89, 0.9, 0.88, 0.9, 0.83, 0.82, 0.79, 0.73, 0.73, 0.77, 0.67, 0.58, 0.49, 0.46, 0.33, 0.25, 0.16, 0.17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,86.0,68.0,43.0,77.0,72.0,0.9411764705882353,0.9767441860465116,0.948051948051948,0.9305555555555556,1.0,0.9302325581395349,1.0,1.0,0.0,0.0,0.0114,0.0012,1.0,1.0,"[0.8066666666666668, 0.7919999999999999, 0.8058333333333334, 0.8009999999999999, 0.8039999999999999, 0.8175, 0.799, 0.8183, 0.8206, 0.8315, 0.84, 0.8340000000000001, 0.8314666666666668, 0.8466666666666667, 0.8471333333333335, 0.8395999999999998, 0.8473333333333334, 0.8554761904761905, 0.8620952380952382, 0.8529047619047622, 0.8461904761904762, 0.859142857142857, 0.8653214285714286, 0.8693928571428572, 0.8617857142857143, 0.8706785714285714, 0.8652500000000001, 0.8805277777777778, 0.8634444444444445, 0.8723055555555557, 0.8697222222222223, 0.8748888888888888, 0.8776666666666665, 0.8807111111111111, 0.8811777777777777, 0.8786222222222222, 0.8868, 0.8803090909090909, 0.8849454545454545, 0.8793090909090909, 0.8819454545454545, 0.8890909090909092, 0.8904242424242425, 0.8862424242424243, 0.8904696969696968, 0.8885303030303029, 0.8913333333333334, 0.8860769230769232, 0.8914358974358975, 0.8928461538461537, 0.8924102564102564, 0.8924615384615386, 0.887912087912088, 0.8975824175824176, 0.8956813186813188, 0.898747252747253, 0.891857142857143, 0.9004380952380953, 0.8956857142857143, 0.8952, 0.8960857142857144, 0.8990666666666667, 0.8978666666666666, 0.9003833333333333, 0.898625, 0.8984083333333334, 0.8985000000000001, 0.8993970588235294, 0.9000955882352943, 0.903, 0.8982794117647057, 0.9036470588235297, 0.9019607843137257]","[0.85, 0.84, 0.87, 0.85, 0.84, 0.92, 0.89, 0.93, 0.93, 0.92, 0.96, 0.91, 0.96, 0.98, 0.95, 0.98, 0.97, 0.99, 0.99, 0.97, 0.93, 0.98, 0.97, 0.99, 0.99, 1.0, 0.98, 0.99, 0.98, 1.0, 0.98, 0.98, 0.99, 1.0, 0.99, 0.99, 0.99, 0.98, 1.0, 0.99, 1.0, 0.99, 1.0, 0.99, 1.0, 0.98, 0.95, 0.97, 0.91, 0.97, 0.95, 0.93, 0.95, 0.96, 0.89, 0.92, 0.78, 0.86, 0.78, 0.73, 0.71, 0.62, 0.6, 0.34, 0.32, 0.24, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,113.0,90.0,56.0,101.0,101.0,0.9555555555555556,0.9464285714285714,0.9504950495049505,0.9504950495049505,0.8695652173913043,0.9122807017543859,0.8333333333333334,0.8333333333333334,0.0006,0.0,0.0514,0.0514,1.0,1.0,"[0.7630000000000001, 0.7643333333333332, 0.7800000000000001, 0.7751666666666667, 0.7829999999999999, 0.8095, 0.7991666666666667, 0.83, 0.8195999999999999, 0.8257999999999999, 0.8386999999999999, 0.8425999999999999, 0.8400000000000002, 0.8570666666666666, 0.8450666666666667, 0.8658, 0.8413333333333334, 0.852, 0.8574285714285713, 0.865952380952381, 0.8642857142857144, 0.8606190476190477, 0.8697142857142858, 0.8747857142857143, 0.8714285714285712, 0.8699642857142859, 0.861, 0.8689999999999999, 0.8778611111111111, 0.8902777777777778, 0.8867222222222219, 0.8782222222222222, 0.8871111111111111, 0.8796222222222222, 0.8880666666666666, 0.8845555555555555, 0.8951777777777776, 0.8834000000000002, 0.8919636363636365, 0.892818181818182, 0.8871454545454547, 0.8990363636363639, 0.8909090909090908, 0.8954696969696971, 0.8910757575757576, 0.8963939393939394, 0.8895303030303029, 0.9009999999999998, 0.8937051282051282, 0.8943589743589743, 0.8969615384615384, 0.901897435897436, 0.9024615384615388, 0.9051868131868133, 0.903978021978022, 0.9034615384615386, 0.8952637362637365, 0.9024285714285715, 0.9035142857142858, 0.9054857142857143, 0.9062857142857141, 0.9050761904761906, 0.8996000000000001, 0.9079666666666665, 0.905275, 0.9078583333333334, 0.9093000000000002, 0.9025, 0.9050808823529412, 0.9086691176470589, 0.9097720588235295, 0.9105882352941177, 0.9044705882352944, 0.9115032679738563, 0.910732026143791, 0.9126732026143793, 0.9094575163398693, 0.9082222222222223, 0.910906432748538, 0.9078304093567252, 0.9144678362573099, 0.9120058479532165, 0.9093684210526315, 0.9133842105263157, 0.9114421052631577, 0.9139, 0.9150947368421055, 0.9114, 0.913295238095238, 0.9163095238095238, 0.9130714285714288, 0.9143619047619049, 0.9149523809523811, 0.9129826839826838, 0.9112380952380952, 0.9121038961038961, 0.913930735930736, 0.9165454545454547, 0.9133952569169962, 0.914102766798419, 0.9155731225296444]","[0.76, 0.75, 0.84, 0.83, 0.88, 0.86, 0.9, 0.96, 0.96, 0.95, 1.0, 0.96, 0.98, 0.98, 0.97, 1.0, 0.98, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 1.0, 1.0, 1.0, 1.0, 0.99, 0.99, 1.0, 0.98, 0.98, 0.98, 0.95, 0.99, 0.93, 0.95, 0.81, 0.93, 0.9, 0.82, 0.76, 0.75, 0.64, 0.51, 0.38, 0.31, 0.15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,150.0,120.0,75.0,135.0,138.0,0.9666666666666667,0.9466666666666667,0.9629629629629629,0.9637681159420289,0.9666666666666667,0.92,1.0,1.0,0.0,0.0,0.0,0.0004,1.0,1.0,"[0.8156666666666665, 0.7913333333333332, 0.7859999999999999, 0.8201666666666667, 0.8001666666666668, 0.8058333333333334, 0.8328333333333334, 0.8250000000000002, 0.8334000000000001, 0.8358999999999999, 0.8554999999999999, 0.8506, 0.8556, 0.8618666666666667, 0.8488, 0.8538666666666666, 0.8716000000000002, 0.8643333333333335, 0.8828095238095238, 0.8793809523809525, 0.8760952380952383, 0.8894285714285717, 0.8745714285714286, 0.8814285714285717, 0.8898214285714287, 0.8783571428571427, 0.8899285714285713, 0.89, 0.887888888888889, 0.894388888888889, 0.8970833333333332, 0.8939999999999999, 0.8971111111111111, 0.894688888888889, 0.8941999999999999, 0.9066666666666666, 0.9037555555555555, 0.9010000000000001, 0.9084727272727272, 0.9032363636363638, 0.9058181818181816, 0.9070181818181818, 0.9099999999999998, 0.9096818181818181, 0.9095151515151515, 0.9103333333333333, 0.9060454545454547, 0.9116666666666668, 0.9149358974358976, 0.9098076923076923, 0.9098333333333334, 0.9127307692307692, 0.9169230769230771, 0.90978021978022, 0.9179340659340661, 0.9177032967032969, 0.9171098901098902, 0.9177142857142857, 0.9224095238095239, 0.9183714285714285, 0.9207904761904762, 0.9189333333333332, 0.9212, 0.913925, 0.9199999999999998, 0.9249, 0.9242416666666666, 0.9211250000000001, 0.9262132352941176, 0.921875, 0.924794117647059, 0.9237941176470588, 0.922235294117647, 0.9280196078431375, 0.9226209150326798, 0.9229411764705883, 0.9223986928104574, 0.9205555555555557, 0.9256783625730995, 0.9246725146198829, 0.9280058479532164, 0.9217777777777779, 0.9257894736842105, 0.9248736842105266, 0.9328421052631579, 0.9262894736842106, 0.9273894736842107, 0.9257000000000001, 0.9314904761904761, 0.932357142857143, 0.9296523809523809, 0.9295095238095239, 0.9301904761904762, 0.9300432900432899, 0.9282900432900434, 0.9306536796536798, 0.926056277056277, 0.9321818181818182, 0.9301857707509883, 0.9295019762845851, 0.9326284584980239, 0.9317707509881424, 0.9348695652173916, 0.9337644927536232, 0.9282826086956522, 0.9315289855072463, 0.9303985507246376, 0.9335833333333332, 0.9334933333333333, 0.9303633333333332, 0.9313599999999999, 0.9339066666666667, 0.93152, 0.9324984615384616, 0.936196923076923, 0.9377199999999999, 0.9354676923076923, 0.9350769230769231, 0.9327578347578348, 0.9335128205128206, 0.9356039886039886, 0.9357720797720799, 0.9357037037037037, 0.9354285714285715, 0.9327724867724869, 0.9310211640211642, 0.936021164021164, 0.9357142857142855, 0.9359556650246306, 0.9379950738916257, 0.9375615763546798, 0.936667487684729, 0.9371724137931036, 0.9363080459770114, 0.9357793103448274, 0.9363172413793103, 0.9364896551724138, 0.9366666666666668]","[0.87, 0.84, 0.9, 0.93, 0.93, 0.93, 0.99, 0.96, 0.97, 0.98, 1.0, 1.0, 0.99, 1.0, 1.0, 1.0, 1.0, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 0.99, 1.0, 0.99, 0.96, 0.96, 0.93, 0.88, 0.89, 0.91, 0.77, 0.78, 0.77, 0.63, 0.47, 0.32, 0.24, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
