,min_training_sample_size,max_training_sample_size,target_power,alpha,min_score,min_relevant_score,min_validation_sample_size,window_size,step,cv,bootstrap_samples,scoring,truncate_sample_size,pareto_sample_size,halfsplit_sample_size,split90-10_sample_size,adaptivesplit_sample_size,pareto_train_scores,halfsplit_train_scores,split90-10_train_scores,adaptivesplit_train_scores,pareto_test_scores,halfsplit_test_scores,split90-10_test_scores,adaptivesplit_test_scores,pareto_p_values,halfsplit_p_values,split90-10_p_values,adaptivesplit_p_values,n_permutation,random_seed,adaptivesplit_learning_curve,adaptivesplit_power_curve
0,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,40.0,32.0,20.0,36.0,28.0,-0.793338216594666,-0.8203830907839416,-0.7803143338022598,-0.7939626657415737,-4.987665829048819,-4.04752342244831,-5.876258189416675,-4.157707381375979,0.0042,0.0,0.0794,0.0004,0.0,0.0,"[-7.520459373432642, -7.325641675813816, -7.115440408509353, -7.302166654718165, -6.486551429314108, -6.502584088726081, -6.727494016911596, -6.833338965241478, -6.620411071740773, -6.639112372767115, -6.411415429923291, -6.686058768524731, -6.44082231131213, -6.535925121391913, -6.408150475518685]","[0.77, 0.76, 0.78, 0.7, 0.8, 0.77, 0.67, 0.52, 0.56, 0.3, 0.06, 0.0, 0.0, 0.0, 0.0]"
1,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,48.0,38.0,24.0,43.0,36.0,-0.7941999168051779,-0.7835278679232052,-0.7959277506578495,-0.7803143338022598,-3.4018694556978586,-3.511362458305701,-5.181889965670039,-4.266135100800983,0.0002,0.0,0.0478,0.0,0.0,0.0,"[-7.000671034431358, -6.902866308882722, -6.5232147828266545, -6.213096976047066, -6.556667736676409, -6.395009476003656, -6.32324548769513, -6.198634816387323, -6.306726063643447, -6.090519834485508, -6.250071290426705, -6.234959841632828, -5.981632697797729, -5.851987378532491, -6.146268432131234, -5.73548417709608, -5.826059524729444, -5.87983303744455, -5.775280250190238, -5.679702699344295, -5.645844469260859, -5.813666933439351, -5.633919266504552]","[0.85, 0.85, 0.89, 0.9, 0.85, 0.87, 0.85, 0.9, 0.83, 0.79, 0.73, 0.76, 0.82, 0.74, 0.66, 0.67, 0.58, 0.34, 0.14, 0.0, 0.0, 0.0, 0.0]"
2,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,58.0,46.0,29.0,52.0,46.0,-0.7749718300321774,-0.7942430608042211,-0.776570736235706,-0.7749718300321774,-3.106310715514251,-3.838855743190579,-2.932435947170209,-3.106310715514251,0.0,0.0,0.0022,0.0,0.0,0.0,"[-5.77111281414053, -6.0293535544418235, -5.276710970489786, -6.02353037055209, -5.445632670785126, -5.6668818555777385, -5.281109759745659, -5.366126847472389, -5.129125392753906, -5.168366020974183, -5.089017586922759, -4.897325672962829, -4.766275459963285, -4.828935951296378, -4.90818941033778, -4.768135937852075, -4.721423562081961, -4.657689415990066, -4.574753881184278, -4.569469062994919, -4.555013581576676, -4.383921473777055, -4.570497006119095, -4.4931765231999155, -4.319619785156751, -4.32732508911263, -4.288238265314567, -4.232373889391912, -4.1293175649805836, -4.054343768134727, -4.051498816631092, -3.942038611839941, -3.9057442405550775]","[0.96, 0.93, 0.99, 0.95, 0.97, 0.94, 0.98, 0.91, 0.95, 0.95, 0.95, 0.99, 0.98, 0.96, 0.94, 0.96, 0.99, 0.95, 0.9, 0.94, 0.91, 0.91, 0.84, 0.9, 0.81, 0.75, 0.71, 0.55, 0.14, 0.0, 0.0, 0.0, 0.0]"
3,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,70.0,56.0,35.0,63.0,58.0,-0.8088085974976341,-0.7842308863418299,-0.804566537171917,-0.8135488109726199,-3.6369888354106865,-3.3887987414624416,-3.1932808513090194,-3.7882026102649107,0.0008,0.0,0.0528,0.0022,0.0,0.0,"[-5.470312836523216, -5.378958326344417, -4.91519232169824, -5.508204523837326, -5.075051334834305, -5.075572834300306, -5.27800942258733, -4.894342180786969, -4.8902683364422295, -4.841437368817132, -4.698749696745812, -4.780049668041332, -4.390577850296779, -4.631356450470403, -4.6329507586055305, -4.297885960788692, -4.414027803679598, -4.2305661339939835, -4.25924651659783, -4.20497463351593, -4.231915483700879, -4.273764372130652, -4.094499419672198, -4.126168127234294, -4.190720807001051, -3.9882592273622244, -4.075154701767554, -3.9940281304130747, -3.9503769912942177, -3.9546290947988125, -3.9105561997211824, -3.797619868238304, -3.871026901449296, -3.8242292577709827, -3.7505695100988365, -3.6718311831231865, -3.763599180941518, -3.7384767573985256, -3.8374877257362736, -3.6921203141606536, -3.7136235595798013, -3.621681620736869, -3.5909325729112833, -3.6353815508717395, -3.6052868899049333]","[0.98, 0.99, 1.0, 0.99, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 0.98, 0.99, 1.0, 0.98, 1.0, 0.99, 0.97, 1.0, 0.97, 1.0, 0.97, 0.98, 0.96, 0.95, 0.91, 0.86, 0.85, 0.77, 0.5, 0.22, 0.0, 0.0, 0.0, 0.0]"
4,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,85.0,68.0,42.0,76.0,73.0,-0.7991636247081934,-0.7936707235105539,-0.8170939836897215,-0.8105350471519999,-2.53809332884326,-3.1313290325452874,-2.0825424410967406,-3.020305044095897,0.0,0.0,0.0002,0.0,0.0,0.0,"[-5.3795115024416456, -5.329814777063756, -5.096929028846715, -5.165962399545882, -4.763756693287415, -4.8619508603035335, -4.809750807539133, -4.82947374759232, -4.738335885720546, -4.664775219137898, -4.772515054075735, -4.500433653604962, -4.53501359105976, -4.271906496577355, -4.413887517198514, -4.2464159675739515, -4.30952257813975, -4.268406657340337, -4.221415643340037, -4.126784093397079, -4.200198787574095, -4.142527384371708, -4.083011514799299, -4.017752029563078, -3.9535187768913778, -4.014693210692209, -3.9208252610424688, -3.9390823611591674, -3.944961339927654, -3.919983800231128, -3.845107978121106, -3.790670007961925, -3.8016765432374235, -3.7973516873603104, -3.73894204013262, -3.7292364061454295, -3.6375064743028798, -3.676221853813351, -3.5944342337822888, -3.578190183713005, -3.5744023273405947, -3.5897598042390024, -3.638580422442047, -3.5375146375327167, -3.529257496806123, -3.5486140612322417, -3.5463200644498465, -3.4789344126684374, -3.4868179008029414, -3.520745064149239, -3.5143698947143274, -3.4558344605783655, -3.4070494129038487, -3.436027016511785, -3.351590801870227, -3.344678847569113, -3.438562536662997, -3.414435756815694, -3.342172240302878, -3.365809355613618]","[0.99, 1.0, 0.98, 1.0, 1.0, 0.99, 1.0, 1.0, 1.0, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 1.0, 1.0, 0.98, 0.99, 0.95, 0.99, 0.91, 0.93, 0.91, 0.79, 0.68, 0.32, 0.0, 0.0, 0.0, 0.0]"
5,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,40.0,32.0,20.0,36.0,28.0,-0.7933945531159149,-0.8073004152589072,-0.8272689552565483,-0.7810026517468827,-5.252055790455364,-3.6858466942224366,-7.861289034869706,-3.9400205392489824,0.0004,0.0,0.2406,0.0004,1.0,1.0,"[-3.8717195816121803, -3.8050662008513605, -3.8016678635098997, -3.712208261415775, -3.5854211411908308, -3.492622300373723, -3.5146202024197595, -3.5814451941323204, -3.4247301784980753, -3.300972905969147, -3.2339773509895196, -3.158175402146116, -3.1700643632936334, -3.2181922856971155, -3.1690832307265344]","[0.81, 0.77, 0.71, 0.62, 0.71, 0.71, 0.58, 0.5, 0.58, 0.3, 0.13, 0.0, 0.0, 0.0, 0.0]"
6,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,48.0,38.0,24.0,43.0,33.0,-0.8169499037775556,-0.7932573305649632,-0.7711163594830727,-0.8204598070155715,-8.696042041123292,-5.3438852877847225,-10.161438259290446,-7.989334300313115,0.0034,0.0,0.153,0.0134,1.0,1.0,"[-6.4510439880982675, -6.0935333870930695, -5.89021945333283, -5.928599055745034, -5.9022801897339505, -5.841039760001016, -5.759141453206394, -5.487189334860197, -5.67609714955339, -5.517877733933855, -5.526723573745728, -5.428152140479332, -5.208174640894836, -5.329845996672385, -5.331322294088096, -5.2464626381957915, -5.222769590276866, -5.241062135722858, -5.269345355842619, -5.248545285794223, -5.199926271589626, -5.166787715500181, -5.123581835152299]","[0.66, 0.61, 0.77, 0.69, 0.66, 0.58, 0.68, 0.66, 0.69, 0.59, 0.56, 0.66, 0.57, 0.59, 0.51, 0.41, 0.3, 0.22, 0.09, 0.0, 0.0, 0.0, 0.0]"
7,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,58.0,46.0,29.0,52.0,41.0,-0.5912680820063234,-0.7795978759280916,-0.6763564046012001,-0.821419485827067,-3.527246274920481,-4.904642767955532,-1.8390224254591814,-5.3754548616543785,0.0182,0.0,0.037,0.0002,1.0,1.0,"[-6.067323713358942, -5.770475916630727, -5.845571596255979, -5.550055387397978, -5.042033866501697, -5.4215017950202355, -5.237213785728208, -5.196680886978709, -5.3398931495155555, -5.096877457375889, -5.015002681729736, -5.13426185617275, -4.973067145689878, -4.904386785925067, -4.838073768618946, -4.700622311534882, -4.527797791977331, -4.840325160161863, -4.822902431483708, -4.876630063210573, -4.772825520617201, -4.758575529482906, -4.771370092734927, -4.751702424739817, -4.599951552113949, -4.517789540048227, -4.549225298436734, -4.582253971685064, -4.521147622265657, -4.537407946056016, -4.522279828195576, -4.529503804212704, -4.454408045182584]","[0.79, 0.79, 0.79, 0.83, 0.85, 0.86, 0.83, 0.81, 0.81, 0.79, 0.84, 0.81, 0.86, 0.91, 0.85, 0.78, 0.84, 0.74, 0.8, 0.73, 0.72, 0.72, 0.63, 0.57, 0.48, 0.57, 0.51, 0.29, 0.12, 0.0, 0.0, 0.0, 0.0]"
8,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,70.0,56.0,35.0,63.0,58.0,-0.6764224817084126,-0.8295380603412653,-0.6361859787043183,-0.6632500300679058,-3.1757597824375545,-4.8888674383732384,-2.3436623974421606,-3.325045496120881,0.0016,0.0,0.0248,0.0014,1.0,1.0,"[-5.3011763658133955, -5.314981382649323, -5.238623263612384, -5.166191024989562, -5.123488718228211, -4.796091621247619, -4.901370402028673, -4.915488486773483, -4.98882125697221, -5.075360898319329, -4.705161151931322, -4.8434256001640295, -4.614388895753942, -4.704278808107322, -4.714299859757412, -4.686566502215681, -4.490571952880249, -4.374212181727487, -4.287479030611492, -4.313285941076502, -4.577950708885713, -4.435098207094235, -4.364636794361553, -4.335614613330928, -4.410771733308766, -4.36997336536091, -4.311373914858291, -4.336973826486056, -4.278601464834967, -4.3158965481262825, -4.261340974334271, -4.215740309701712, -4.169951266667796, -4.145581350372355, -4.204226821456337, -4.180957249759169, -4.0353605089961135, -4.1344859258598525, -4.127083601316342, -4.15134972886652, -4.001899030142877, -4.052196126212949, -4.02755354745848, -4.048554364441446, -4.012390808600392]","[0.87, 0.88, 0.88, 0.95, 0.95, 0.95, 0.92, 0.9, 0.96, 0.91, 0.95, 0.93, 0.93, 0.97, 0.95, 0.92, 0.96, 0.95, 0.96, 0.95, 0.94, 0.95, 0.91, 0.96, 0.93, 0.97, 0.94, 0.9, 0.86, 0.86, 0.88, 0.79, 0.77, 0.75, 0.76, 0.64, 0.67, 0.59, 0.52, 0.35, 0.08, 0.0, 0.0, 0.0, 0.0]"
9,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,85.0,68.0,42.0,76.0,73.0,-0.653368451987187,-0.778626342860333,-0.6809631604799729,-0.661490124599073,-3.9255154646070327,-4.255744416721279,-4.139077112604982,-4.542195405527606,0.0,0.0,0.0118,0.0012,1.0,1.0,"[-5.350781916376499, -5.151809749998774, -5.426515903500811, -5.033670693340557, -5.086533812218593, -4.922476090798117, -4.811805053417116, -4.787967129513688, -4.806043631523585, -4.499735976832636, -4.739279791399534, -4.64907870015238, -4.575564174786428, -4.525868892967681, -4.4348245051357456, -4.693557032996323, -4.4473610370199514, -4.488239985125151, -4.41688444152384, -4.353255809943414, -4.454898249086421, -4.304305434641515, -4.370868473684894, -4.210858000382373, -4.410826087190526, -4.303238868249124, -4.32612177702355, -4.222434120729924, -4.2789601729480005, -4.278379169074367, -4.165340917086716, -4.207111056548516, -4.094047179782823, -4.181935269711614, -4.148663097556547, -4.281580979609132, -4.082167029132084, -3.973349812014683, -4.097116068806329, -4.028553156511248, -3.982431338748746, -4.040282161277412, -4.060086582329877, -4.024308226756187, -4.00449162218626, -4.031071839890616, -4.0647360809546, -4.06912004625028, -3.960843881688196, -4.02761342785199, -3.9854577780348936, -3.9144607105909954, -3.9591838153592063, -3.948250290325996, -3.9789990696196647, -3.877326889208754, -3.9095051343849048, -3.9199051796738775, -3.8996072763604843, -3.8869284443897727]","[0.96, 0.93, 0.94, 0.96, 0.95, 0.99, 0.99, 0.98, 0.96, 0.99, 0.99, 0.98, 0.98, 0.98, 1.0, 0.98, 0.98, 0.99, 0.99, 0.97, 1.0, 1.0, 0.99, 0.99, 0.98, 0.97, 1.0, 1.0, 0.98, 0.99, 0.97, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0, 0.98, 0.98, 0.94, 0.96, 0.91, 0.97, 0.93, 0.93, 0.88, 0.88, 0.87, 0.87, 0.76, 0.66, 0.68, 0.56, 0.35, 0.09, 0.0, 0.0, 0.0, 0.0]"
