,min_training_sample_size,max_training_sample_size,target_power,alpha,min_score,min_relevant_score,min_validation_sample_size,window_size,step,cv,bootstrap_samples,scoring,truncate_sample_size,pareto_sample_size,halfsplit_sample_size,split90-10_sample_size,adaptivesplit_sample_size,pareto_train_scores,halfsplit_train_scores,split90-10_train_scores,adaptivesplit_train_scores,pareto_test_scores,halfsplit_test_scores,split90-10_test_scores,adaptivesplit_test_scores,pareto_p_values,halfsplit_p_values,split90-10_p_values,adaptivesplit_p_values,n_permutation,random_seed,adaptivesplit_learning_curve,adaptivesplit_power_curve
0,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,49.0,39.0,24.0,44.0,33.0,-0.9969126982892874,-0.9314839664141652,-0.9110905497727602,-0.939396125858438,-12.073663263192453,-9.25855394119745,-10.060661558714136,-11.975825892754951,0.0552,0.0002,0.1022,0.0168,0.0,0.0,"[-12.127234839720407, -12.207038749841248, -12.07574272802268, -11.8604632927168, -12.065113955790878, -11.775272496357331, -11.724392787334084, -11.598028476893278, -11.804064575071552, -11.328915577856549, -11.708471868712364, -11.576817883341521, -11.4160804844611, -11.419096383988688, -11.34491768782455, -11.38683244475873, -11.274955252485388, -11.132164289360185, -11.396673950183752, -11.108865922882707, -11.119973957448133, -11.002968849870905, -11.256257294978091, -11.173326331219858]","[0.6970000000000002, 0.714, 0.7240000000000002, 0.698, 0.6729999999999999, 0.691, 0.7239999999999999, 0.7099999999999999, 0.64, 0.7069999999999999, 0.64, 0.627, 0.603, 0.561, 0.5159999999999999, 0.49500000000000005, 0.412, 0.36400000000000005, 0.20200000000000007, 0.065, 0.0, 0.0, 0.0, 0.0]"
1,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,65.0,52.0,32.0,58.0,37.0,-0.9062687886093709,-0.936888144833379,-0.8946957333442959,-0.9999434874019214,-12.649215324721846,-11.166429975323583,-15.136368090003328,-12.727876581073332,0.1436,0.0004,0.7668,0.0054,0.0,0.0,"[-12.364347405262762, -12.860228072947598, -12.89419696872716, -12.513124068191255, -12.827047530106809, -12.15002006343529, -12.295940157029513, -12.315219179758987, -12.317260022239807, -12.02000714051476, -12.45935938211058, -12.198437541632527, -12.061351338456463, -12.284619220979355, -12.021616852830977, -12.54598387760579, -11.993471240800044, -12.048087985126802, -12.157287312461001, -12.129652047089499, -11.82394343736933, -12.017856210324483, -12.067404602997879, -12.00992120152281, -11.918536075072263, -11.83477111124168, -11.78905764740289, -12.193756719915775, -11.841538090172127, -11.67862977954939, -11.772786602940286, -11.908127008134429, -11.59551979094757, -11.869034740829498, -11.791934646733775, -11.788554921606925, -11.678873004254779, -11.87703413699625, -11.657886351127528, -11.580021580966347]","[0.7720000000000001, 0.7340000000000001, 0.71, 0.7859999999999999, 0.759, 0.8019999999999999, 0.8170000000000001, 0.8019999999999999, 0.784, 0.82, 0.7680000000000001, 0.804, 0.8100000000000002, 0.7640000000000002, 0.812, 0.72, 0.8070000000000003, 0.784, 0.7310000000000001, 0.7210000000000001, 0.7510000000000001, 0.7319999999999999, 0.7, 0.6719999999999999, 0.647, 0.6409999999999999, 0.648, 0.5569999999999999, 0.58, 0.549, 0.49699999999999994, 0.4299999999999999, 0.381, 0.30800000000000005, 0.18900000000000003, 0.05799999999999999, 0.0, 0.0, 0.0, 0.0]"
2,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,86.0,68.0,43.0,77.0,69.0,-0.7912859935427059,-0.907393296060784,-0.7920279196195921,-0.7913743594416585,-10.145444786295277,-10.017229569695486,-10.11098047809114,-10.922648225184298,0.001,0.0,0.0028,0.005,0.0,0.0,"[-12.475185063038, -12.374686571540657, -12.071275824155194, -12.028721542597012, -12.607675427781546, -12.309144331482553, -12.040443669126455, -12.272797159373704, -12.066205885841509, -12.178351662033378, -11.770150604813923, -11.802797507601884, -12.032337664197339, -11.7523309223401, -11.922718670614783, -12.161396681573795, -11.794506093653842, -11.945063966389775, -11.971150208835043, -11.82270328530207, -11.58074487862343, -11.841703043658894, -12.015294303945014, -11.757092190415314, -11.92782894246767, -11.667467360696213, -11.709715475865062, -11.802893695086238, -11.85628216085636, -11.766396186355724, -11.681395751400498, -11.733440642298062, -11.618602643562943, -11.779134753049199, -11.657337882359649, -11.705642502017177, -11.546570894781656, -11.668198975628181, -11.712614731519604, -11.827573478904227, -11.62294945174344, -11.458674424834376, -11.559003376481233, -11.458935544586586, -11.373999591670044, -11.678332909735659, -11.651559447971438, -11.4636166732583, -11.543182319477621, -11.515507594284346, -11.56563601982611, -11.5229118872114, -11.526467512354833, -11.304641944513042, -11.342790700994396, -11.316881423740808, -11.351990178872986, -11.476217257958922, -11.323622568828357, -11.317352069711824, -11.302758290197259]","[0.878, 0.893, 0.8669999999999999, 0.9259999999999999, 0.897, 0.8980000000000001, 0.94, 0.9279999999999998, 0.91, 0.9100000000000001, 0.946, 0.937, 0.936, 0.943, 0.9380000000000002, 0.9239999999999999, 0.9510000000000001, 0.935, 0.914, 0.946, 0.9590000000000001, 0.93, 0.914, 0.9440000000000002, 0.9390000000000001, 0.95, 0.9359999999999999, 0.934, 0.9139999999999999, 0.9230000000000002, 0.9330000000000002, 0.9209999999999999, 0.93, 0.929, 0.8960000000000001, 0.916, 0.8950000000000001, 0.8710000000000003, 0.8630000000000001, 0.8400000000000002, 0.8660000000000001, 0.8600000000000001, 0.8050000000000002, 0.8360000000000001, 0.7879999999999999, 0.7560000000000001, 0.7559999999999999, 0.7300000000000001, 0.6570000000000001, 0.6650000000000001, 0.6309999999999999, 0.572, 0.49599999999999994, 0.4160000000000001, 0.3970000000000001, 0.25, 0.07200000000000001, 0.0, 0.0, 0.0, 0.0]"
3,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,113.0,90.0,56.0,101.0,94.0,-0.7856710483710031,-0.9901009516539405,-0.7665038641841644,-0.765034083294567,-11.397060458634247,-14.607676337386708,-11.676407081200265,-10.123676353807374,0.0286,0.0026,0.2634,0.014,0.0,0.0,"[-12.312661358892628, -12.03479078042247, -12.287005976273344, -12.602849492298022, -11.923355896317648, -12.191079941343151, -12.471263475678292, -12.349456612449428, -12.655066634760894, -12.699363473053504, -12.491119466818734, -12.510894861511769, -12.585893439130974, -12.3568931329093, -12.096567372142333, -12.693545331838623, -12.271937404884891, -12.217553541398551, -12.375076113904724, -12.343768747112788, -12.282983463631744, -12.360207504322336, -12.291605714371098, -12.070617444114625, -12.387876697015363, -12.292616019032282, -12.092377771300072, -12.455989137623558, -12.11085409164616, -12.271521734482489, -11.987236740268086, -11.96663042746535, -12.26798307815361, -12.306845884176248, -12.403583828505663, -12.050731540748194, -12.13322654312294, -12.373384833580927, -12.20653813946389, -12.15358522621021, -12.133254782026208, -11.910102726790775, -12.07118013217966, -12.071647923356934, -11.917842960353791, -11.998748405912556, -12.199498337265357, -11.9286750828024, -11.897707369928881, -12.072050310501538, -11.909481156807397, -12.018340006098754, -11.970151166296965, -11.974809663393186, -11.80297097199115, -11.840658048772891, -11.899813978164444, -11.895433252965168, -11.88462247034143, -11.642385136189397, -11.785171478783857, -11.835723191633948, -11.66796765626272, -11.757366441487864, -11.64719178876219, -11.667294172118426, -11.49061501804264, -11.759432568968984, -11.767910499601589, -11.817799719058796, -11.699087409621777, -11.64950152736928, -11.571458047231229, -11.59623766297213, -11.646392667273913, -11.597899767339023, -11.540249405261987, -11.626138457823636, -11.475476225267228, -11.471527933708677, -11.519075148508081, -11.592942509880283, -11.458259251841138, -11.505463333877334, -11.516163262419079, -11.49845756213562, -11.508368845765698, -11.477473275384755]","[0.87, 0.899, 0.8759999999999999, 0.897, 0.9289999999999999, 0.929, 0.888, 0.9259999999999999, 0.879, 0.9129999999999999, 0.9079999999999999, 0.8889999999999999, 0.883, 0.914, 0.9440000000000001, 0.895, 0.9480000000000001, 0.9149999999999998, 0.946, 0.9469999999999998, 0.9309999999999999, 0.945, 0.9159999999999999, 0.9470000000000001, 0.9230000000000002, 0.9520000000000001, 0.9480000000000001, 0.9229999999999999, 0.9530000000000001, 0.943, 0.965, 0.9670000000000001, 0.9480000000000001, 0.9420000000000001, 0.9359999999999999, 0.9570000000000001, 0.948, 0.9250000000000002, 0.9569999999999999, 0.9420000000000001, 0.937, 0.9520000000000001, 0.9370000000000002, 0.934, 0.9390000000000002, 0.955, 0.9280000000000002, 0.937, 0.9390000000000001, 0.948, 0.9460000000000001, 0.922, 0.9210000000000003, 0.9200000000000002, 0.9350000000000003, 0.9110000000000003, 0.9150000000000001, 0.9059999999999999, 0.9050000000000001, 0.9090000000000003, 0.8870000000000001, 0.9070000000000001, 0.885, 0.8600000000000001, 0.8580000000000001, 0.8560000000000002, 0.8470000000000002, 0.8039999999999999, 0.777, 0.7550000000000001, 0.7629999999999998, 0.7560000000000001, 0.72, 0.7210000000000001, 0.679, 0.619, 0.603, 0.5409999999999999, 0.529, 0.484, 0.4039999999999999, 0.341, 0.21799999999999997, 0.060999999999999985, 0.0, 0.0, 0.0, 0.0]"
4,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,150.0,120.0,75.0,135.0,137.0,-0.747334106358217,-0.7864933366712272,-0.7139762077016336,-0.7119385169527194,-10.687989340728858,-10.733678437291891,-9.093043959331911,-9.513248426295016,0.0002,0.0,0.0056,0.0146,0.0,0.0,"[-12.620627662294307, -12.623076870959599, -11.84040571783279, -12.683090744113477, -12.170855478113486, -12.304939413745133, -11.9723772506606, -12.436872162044054, -12.398540690179688, -12.347256219247699, -12.208370107005186, -12.10175623170358, -11.891517046283717, -12.228260684997151, -12.23629694449817, -12.115033041275538, -12.19613529868895, -11.996237130265188, -12.006417381431165, -12.027462806370748, -12.057762994586813, -12.250766305926017, -12.164773370085243, -11.895302654891251, -12.025830400396549, -11.993855147571905, -12.280071369012536, -12.208155347672315, -12.047014809319187, -11.941124468084059, -12.028009696222213, -11.907540323396526, -11.9551585748903, -11.864761800040492, -12.230147039545436, -11.887312908332433, -11.741302875712824, -11.735735311627998, -11.777195559658253, -11.828996755195396, -11.611737812386432, -11.940434405933518, -11.852229161739942, -11.714995493350395, -11.784409191484208, -11.662832226104676, -11.718655563527445, -11.76315700339612, -11.916295692256462, -11.773824431564597, -11.754268473153463, -11.702396055245408, -11.597896392134153, -11.431493726896292, -11.884739168971908, -11.644549619106437, -11.705650426966598, -11.74673920402953, -11.63171378296316, -11.531080024341158, -11.563868019373439, -11.608499417256876, -11.546994377662166, -11.355314471414552, -11.589140761040905, -11.439648483760344, -11.537002074158615, -11.482935561561233, -11.41058209297979, -11.51179154838921, -11.435402056547765, -11.450577296303583, -11.457376680013915, -11.51090394701404, -11.418828650224523, -11.264996799376693, -11.408459928039099, -11.223201384670114, -11.258566865635672, -11.450142881998364, -11.165406737916735, -11.385877237554382, -11.288063609909948, -11.380708524079708, -11.312076775580229, -11.317928830643728, -11.330217438344341, -11.329665594642972, -11.223735230977198, -11.391346153919969, -11.171266143953922, -11.190809249743005, -11.227424570894941, -11.328109829679274, -11.210561161997548, -11.249878655148123, -11.135768701094348, -11.122404894164081, -11.205143413351161, -11.019870582084376, -11.212184014802649, -11.100040850304179, -11.261900908526837, -11.131143914898768, -11.032812198932197, -10.961791364257847, -11.05188032285265, -11.083027982989318, -11.095397236064898, -11.189189725301834, -11.004371639136586, -11.091704428174456, -11.02071962200679, -11.047334798862828, -11.093084657667898, -10.99021598894009, -11.004763397497605, -11.005138882166802, -10.978489190122225, -10.959642821107266, -11.027559701565124, -10.99740346163759, -11.036811388105498, -10.953694077302583, -10.957834396179296]","[0.8180000000000001, 0.8979999999999998, 0.925, 0.8910000000000001, 0.9219999999999999, 0.893, 0.932, 0.905, 0.9540000000000001, 0.9440000000000001, 0.9540000000000001, 0.9520000000000001, 0.943, 0.9490000000000001, 0.9440000000000001, 0.945, 0.9690000000000001, 0.935, 0.9420000000000001, 0.9420000000000001, 0.9420000000000001, 0.9620000000000001, 0.9580000000000001, 0.9680000000000001, 0.9730000000000001, 0.9790000000000001, 0.9560000000000001, 0.965, 0.966, 0.985, 0.96, 0.982, 0.9819999999999999, 0.9740000000000001, 0.9590000000000001, 0.981, 0.97, 0.983, 0.98, 0.993, 0.99, 0.982, 0.9810000000000001, 0.9780000000000001, 0.985, 0.9890000000000001, 0.9870000000000002, 0.987, 0.9820000000000002, 0.985, 0.985, 0.9940000000000001, 0.985, 0.995, 0.985, 0.9880000000000001, 0.981, 0.992, 0.9940000000000001, 0.9840000000000001, 0.9890000000000001, 0.985, 0.987, 0.996, 0.9730000000000001, 0.9890000000000001, 0.9860000000000001, 0.99, 0.99, 0.985, 0.99, 0.9830000000000001, 0.9840000000000001, 0.9790000000000001, 0.99, 0.988, 0.9840000000000001, 0.9910000000000001, 0.982, 0.9780000000000001, 0.9930000000000001, 0.9820000000000002, 0.9830000000000001, 0.9660000000000001, 0.9690000000000001, 0.9810000000000001, 0.9680000000000001, 0.9600000000000003, 0.978, 0.9580000000000001, 0.9730000000000001, 0.9660000000000001, 0.972, 0.9450000000000002, 0.937, 0.9430000000000001, 0.9390000000000001, 0.9440000000000002, 0.9180000000000001, 0.919, 0.909, 0.9130000000000001, 0.878, 0.9060000000000002, 0.8910000000000002, 0.8610000000000001, 0.852, 0.8410000000000001, 0.802, 0.772, 0.7329999999999999, 0.7180000000000001, 0.689, 0.6659999999999999, 0.6320000000000001, 0.546, 0.508, 0.42599999999999993, 0.3949999999999999, 0.214, 0.061, 0.0, 0.0, 0.0, 0.0]"
5,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,49.0,39.0,24.0,44.0,32.0,-0.8997520537324175,-0.9999850160123165,-0.8919062784662054,-0.936437323631022,-12.074653806304731,-13.086314453132658,-12.621566812203534,-14.45054805423146,0.0564,0.0044,0.1062,0.0424,1.0,1.0,"[-11.903841906205482, -12.009751094655046, -12.132555201905156, -11.89358998516637, -12.049856494983173, -12.117547990400345, -12.006320409588113, -11.92445145988167, -12.275515339239387, -11.904349964392411, -12.099472159952931, -11.971201541297424, -12.128651403893294, -12.10190533591444, -11.968620649070044, -12.003256209634877, -12.062714609930044, -12.046969149324845, -11.974750039412333, -12.075871245622661, -12.127235685914522, -11.893159701094389, -11.979232308165967, -12.086462450975292]","[0.765, 0.838, 0.792, 0.789, 0.7589999999999999, 0.7130000000000001, 0.7380000000000001, 0.755, 0.6740000000000002, 0.7140000000000002, 0.6729999999999999, 0.6260000000000001, 0.5989999999999999, 0.54, 0.51, 0.46299999999999997, 0.35900000000000004, 0.326, 0.16800000000000004, 0.025000000000000005, 0.0, 0.0, 0.0, 0.0]"
6,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,65.0,52.0,32.0,58.0,51.0,-0.8861736950566462,-0.936437323631022,-0.8900328943241581,-0.8854572429777544,-8.78771604921041,-13.04521209538888,-10.148493311813212,-8.549759346284448,0.0004,0.0016,0.058,0.0004,1.0,1.0,"[-11.308857182110621, -11.415691994339882, -11.192719670522527, -11.437203721050043, -11.34675750565106, -11.53894549617891, -11.49112498736889, -11.402345762417571, -11.292651090496461, -11.137828217992768, -10.959064269027325, -11.319829161879236, -11.33032033394892, -11.067593007725907, -11.180163584847705, -11.090684292952231, -11.0730471434039, -11.069609467786888, -11.125542737131473, -11.325255078122636, -11.089638754731975, -11.269196142020157, -11.145990878023015, -10.91925468267594, -11.180030569969452, -11.234092529124773, -11.130888872383645, -11.047164682326239, -11.068579847902972, -11.166291015367442, -11.362271375288415, -11.233671405246328, -11.186587040128627, -11.135392737638272, -11.048271145506408, -11.026323380473825, -11.143979960677122, -11.114799321423241, -11.077593495665832, -11.047659379129374]","[0.9230000000000002, 0.9080000000000001, 0.9159999999999999, 0.925, 0.9350000000000002, 0.92, 0.9400000000000002, 0.9280000000000002, 0.9400000000000002, 0.9410000000000001, 0.945, 0.911, 0.94, 0.9280000000000002, 0.934, 0.911, 0.9130000000000001, 0.9030000000000001, 0.9009999999999999, 0.8860000000000001, 0.8830000000000001, 0.8620000000000002, 0.8430000000000001, 0.8510000000000002, 0.8170000000000001, 0.7830000000000001, 0.767, 0.762, 0.7440000000000001, 0.662, 0.583, 0.5309999999999999, 0.46199999999999997, 0.4040000000000001, 0.23299999999999998, 0.045999999999999985, 0.0, 0.0, 0.0, 0.0]"
7,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,86.0,68.0,43.0,77.0,65.0,-0.8836740880145703,-0.8998027695522037,-0.881941738566801,-0.8820746054723196,-13.335022114483394,-11.276759148472957,-15.959781086755637,-11.996758671476453,0.0834,0.0,0.365,0.0336,1.0,1.0,"[-12.651380918167392, -12.438989794181694, -12.329425096571061, -12.06851800289423, -12.594240295118546, -12.165735216881744, -12.19063922266259, -11.756806527546757, -12.423644462362622, -12.169926292341016, -12.31441242152928, -12.102560405339052, -12.298992557509404, -11.825481317445032, -11.866516568750226, -12.040209334744784, -12.034705749739869, -12.246765459389573, -11.849514637534933, -12.145905947428975, -12.035215300655821, -11.948022042480556, -12.115116463284558, -11.955687916610538, -11.92045512860765, -12.189327468366919, -11.922428905681988, -12.139148088979773, -12.135432933753174, -12.067201242231558, -11.940498226396636, -12.129372496939945, -11.989168530592387, -11.831565992083888, -12.087070631795914, -11.756462230479721, -11.917517547653858, -11.887121102972806, -12.039587845445041, -11.97916997503652, -11.726846978233537, -11.732054400669277, -11.69820354750277, -11.816943698353613, -11.751384920145709, -11.85945645273265, -11.810616319340859, -11.890626201171514, -11.679221279511125, -11.817990581291799, -11.74614181174715, -11.722470836071436, -11.748110808105764, -11.605231225597192, -11.856438014525125, -11.612771949003234, -11.549681177305958, -11.59392720039943, -11.734634369410653, -11.505907452559091, -11.567485413464095]","[0.8090000000000002, 0.8560000000000001, 0.804, 0.9129999999999999, 0.835, 0.865, 0.8930000000000001, 0.8910000000000001, 0.8540000000000001, 0.9189999999999999, 0.899, 0.92, 0.8920000000000001, 0.9159999999999999, 0.902, 0.9060000000000002, 0.911, 0.907, 0.9079999999999999, 0.9, 0.8950000000000002, 0.9009999999999999, 0.902, 0.8960000000000002, 0.9100000000000001, 0.8860000000000001, 0.8970000000000004, 0.8750000000000001, 0.884, 0.875, 0.8740000000000002, 0.834, 0.8590000000000001, 0.8680000000000001, 0.8520000000000002, 0.867, 0.8240000000000001, 0.8130000000000002, 0.807, 0.7980000000000002, 0.8200000000000002, 0.7759999999999999, 0.7570000000000001, 0.7439999999999999, 0.7470000000000002, 0.6859999999999999, 0.6870000000000002, 0.6539999999999999, 0.633, 0.601, 0.54, 0.49200000000000005, 0.45299999999999996, 0.3789999999999999, 0.3349999999999999, 0.169, 0.048, 0.0, 0.0, 0.0, 0.0]"
8,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,113.0,90.0,56.0,101.0,91.0,-0.8163516714673049,-0.8911431281122456,-0.7927836993494161,-0.8162821472714562,-13.352694137995528,-12.47534273993707,-15.787247763343636,-13.811519177859848,0.0408,0.0004,0.0748,0.054,1.0,1.0,"[-12.607281159800085, -12.328182404911832, -12.381132468186493, -12.339941110038303, -12.587973407724569, -12.597072363462134, -12.749191490101632, -12.6216155905682, -12.804119503143234, -12.363128314035945, -12.839910047175248, -12.151819310239926, -12.37559976107539, -12.641710530723296, -12.31141883577315, -12.21979752419555, -12.43175050171353, -12.562280081409106, -12.864514766319052, -12.23675801636949, -12.354613264090299, -12.334709719574583, -12.301415426286407, -12.33106217983569, -12.4524532783308, -12.502533316491677, -12.12074921111733, -12.591851517901938, -12.312035672422757, -12.667347933347958, -12.49475150351134, -12.161131197880422, -12.40354328407998, -12.611651824111325, -12.4892438689427, -12.240330890734143, -12.422999079281004, -12.533252545789924, -12.397053541280627, -12.644473013180429, -12.236757294497057, -12.525109480647767, -12.632417569680024, -12.644350357738206, -12.323837633724798, -12.346002036338419, -12.702397759047706, -12.27770708884266, -12.481621522560081, -12.39538285042398, -12.375234883241399, -12.522736720695159, -12.15629580811002, -12.277815712005452, -12.259236608502544, -12.31578971046695, -12.32397529669057, -12.256684325880082, -12.25079912959259, -12.341306049897195, -12.247679578752555, -12.36185562362958, -12.191687143060342, -12.164632163587582, -12.071232571980406, -12.05731869393693, -12.115344345718599, -12.112355688462342, -12.110226614590774, -12.509747888487698, -12.37408374623292, -12.179988716862452, -12.019347795971873, -12.236610121640815, -12.192538938032271, -12.174102713038053, -12.047070291863157, -12.052145713927715, -11.962872703700228, -12.03255114211098, -12.079194079430977, -11.943153684462956, -11.973219952369895, -11.91326705207638, -11.984749651736813, -11.96520459568496, -12.001439487206264, -11.925697744176661]","[0.863, 0.8810000000000001, 0.8590000000000001, 0.8930000000000001, 0.9000000000000001, 0.8910000000000001, 0.8760000000000001, 0.889, 0.8930000000000001, 0.912, 0.8710000000000001, 0.9519999999999998, 0.904, 0.922, 0.915, 0.922, 0.91, 0.9030000000000001, 0.8959999999999999, 0.9390000000000001, 0.921, 0.9540000000000001, 0.9469999999999998, 0.9470000000000001, 0.9430000000000001, 0.9220000000000002, 0.945, 0.9220000000000002, 0.9200000000000002, 0.9220000000000002, 0.9259999999999999, 0.9469999999999998, 0.9340000000000002, 0.9189999999999999, 0.9410000000000001, 0.9570000000000001, 0.925, 0.9260000000000003, 0.9219999999999999, 0.9, 0.9470000000000002, 0.9270000000000002, 0.921, 0.904, 0.949, 0.929, 0.888, 0.9179999999999999, 0.922, 0.914, 0.9010000000000002, 0.8759999999999999, 0.9229999999999999, 0.909, 0.9010000000000002, 0.8740000000000002, 0.902, 0.8989999999999999, 0.8809999999999999, 0.8640000000000001, 0.8690000000000001, 0.83, 0.8410000000000001, 0.8510000000000001, 0.8439999999999999, 0.83, 0.8140000000000002, 0.75, 0.762, 0.6910000000000001, 0.6789999999999999, 0.703, 0.6720000000000002, 0.657, 0.5820000000000001, 0.555, 0.564, 0.5319999999999999, 0.4699999999999999, 0.409, 0.3559999999999999, 0.34, 0.20700000000000002, 0.05199999999999999, 0.0, 0.0, 0.0, 0.0]"
9,0.0,inf,0.8,0.05,-inf,0.0,12.0,6.0,1.0,5.0,100.0,neg_mean_squared_error,150.0,120.0,75.0,135.0,129.0,-0.760141976374609,-0.8802045730083355,-0.7295338919684873,-0.7410499084732387,-12.231474290404716,-13.618326045144572,-11.36220276277143,-11.468893954742235,0.0136,0.0034,0.0218,0.0178,1.0,1.0,"[-12.660804512001059, -12.818692853737817, -12.29041352063746, -12.11802144915372, -12.57388472061695, -12.584334738983857, -12.198048940853695, -12.38887794863905, -12.459408985195045, -12.382312960926024, -12.562555671518158, -12.398303654662968, -12.171535422198557, -12.104377751877927, -12.366235804682473, -12.541677763996386, -12.029737428953611, -12.41288277962179, -12.448499502842816, -12.345434685349467, -12.293407989384496, -12.345528810561602, -11.965074664867345, -12.092169788065366, -12.189027255125625, -12.353357940812838, -12.29673803569274, -12.656217474663327, -12.349958092139403, -12.624734102700709, -12.29267374763744, -12.214781693001001, -12.333901314953064, -12.344361529852309, -12.521378486113209, -12.29263713632678, -12.387468447195998, -12.246251101895417, -12.495011720624776, -12.091413849224395, -12.094852257573116, -12.488093132467357, -12.065169016054858, -12.221610196442303, -12.512472934945484, -12.31076736596335, -12.28868542776609, -12.486949452552356, -12.604033569515298, -12.302290555726762, -12.253864877684551, -12.24065956860668, -12.370750081311687, -12.219626707700122, -12.262566879608393, -12.296983130839008, -12.448487075214183, -12.41212773770542, -12.311603700584728, -12.17302518384153, -12.232368461697458, -12.120978673606187, -12.261083783950426, -12.177625820162396, -12.263788220768058, -12.07836904315706, -12.164800846472822, -11.996339243829295, -11.978127655672468, -11.905470389015516, -12.110871428383792, -12.002202240143948, -12.220450536143323, -12.096479026745726, -12.063470997640355, -12.067785137202366, -12.101275986328709, -12.07176952576735, -11.94294442313616, -11.883374523131629, -11.988483767736453, -12.02180862124753, -12.016614390388106, -12.021437190843773, -12.007911487880886, -11.903717408795089, -11.839670842915387, -11.924031020318203, -11.98920725890363, -11.950218709145217, -11.939866035022588, -11.980383237632372, -11.849788457526715, -11.931700539413406, -11.82815183892249, -11.886363491520472, -11.773572061339115, -11.9234544724429, -11.987327411870531, -11.775895080381273, -12.055605526301342, -11.882475933123075, -11.911701713046, -11.886869118950026, -11.906945407881391, -11.760376098827033, -11.791892943996434, -11.915872971001487, -11.882799161757573, -11.868336921363687, -11.825591558561861, -11.782123158360871, -11.825590356115654, -11.86802386508216, -11.836392370645179, -11.862735862422182, -11.79180467983291, -11.854591400253737, -11.862351270725192, -11.839581313565825, -11.849119036644877, -11.73643422039202, -11.756663622024258, -11.820211608467053, -11.841661740908561]","[0.833, 0.815, 0.8909999999999999, 0.927, 0.893, 0.905, 0.91, 0.921, 0.91, 0.9030000000000001, 0.917, 0.931, 0.9220000000000002, 0.9320000000000002, 0.8959999999999999, 0.92, 0.972, 0.925, 0.93, 0.937, 0.927, 0.9410000000000001, 0.9790000000000001, 0.9270000000000002, 0.975, 0.9500000000000002, 0.9670000000000001, 0.9540000000000001, 0.971, 0.9500000000000002, 0.972, 0.9670000000000001, 0.975, 0.9700000000000002, 0.9640000000000001, 0.9620000000000002, 0.9630000000000001, 0.9570000000000002, 0.9510000000000001, 0.972, 0.9740000000000001, 0.937, 0.973, 0.9780000000000001, 0.9790000000000001, 0.9790000000000001, 0.9710000000000001, 0.9640000000000001, 0.9740000000000001, 0.9620000000000001, 0.9740000000000001, 0.9690000000000001, 0.9620000000000001, 0.9690000000000001, 0.9590000000000001, 0.985, 0.955, 0.9500000000000002, 0.9730000000000001, 0.9670000000000001, 0.9740000000000002, 0.9660000000000001, 0.9470000000000001, 0.9670000000000002, 0.963, 0.9570000000000001, 0.9710000000000001, 0.97, 0.982, 0.9740000000000001, 0.9650000000000002, 0.9660000000000001, 0.9390000000000001, 0.9620000000000002, 0.9640000000000001, 0.9540000000000001, 0.9490000000000001, 0.945, 0.9580000000000001, 0.9540000000000002, 0.9619999999999999, 0.9540000000000002, 0.9470000000000002, 0.94, 0.932, 0.9480000000000001, 0.932, 0.9359999999999999, 0.904, 0.9100000000000001, 0.922, 0.9120000000000001, 0.9120000000000001, 0.8759999999999999, 0.8840000000000002, 0.8780000000000002, 0.8939999999999999, 0.872, 0.8410000000000001, 0.835, 0.7969999999999999, 0.799, 0.7980000000000002, 0.83, 0.7820000000000001, 0.765, 0.7670000000000001, 0.7030000000000001, 0.6809999999999998, 0.665, 0.631, 0.632, 0.533, 0.525, 0.5169999999999999, 0.41700000000000004, 0.44400000000000006, 0.336, 0.291, 0.18600000000000008, 0.034, 0.0, 0.0, 0.0, 0.0]"
